Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
invitees ,tvui,browseTitles,,,2023-02-16 20:27:31
invitees ,tvui,playback,,,2023-02-16 20:27:31
invitees ,tvui,profilesGate,,,2023-02-16 20:27:26
invitees ,tvui,browseTitles,,,2023-02-16 20:27:26
invitees ,tvui,postPlay,,,2023-02-15 21:59:23
invitees ,tvui,playback,,,2023-02-15 21:59:23
invitees ,tvui,playback,,,2023-02-15 21:59:17
invitees ,tvui,postPlay,,,2023-02-15 21:59:17
invitees ,tvui,postPlay,,,2023-02-15 21:15:18
invitees ,tvui,playback,,,2023-02-15 21:15:18
invitees ,tvui,playback,,,2023-02-15 21:15:12
invitees ,tvui,postPlay,,,2023-02-15 21:15:12
invitees ,tvui,playback,,,2023-02-15 20:24:07
invitees ,tvui,movieDetails,,,2023-02-15 20:24:07
invitees ,tvui,playback,,,2023-02-15 20:23:56
invitees ,tvui,movieDetails,,,2023-02-15 20:23:56
invitees ,tvui,movieDetails,,,2023-02-15 20:22:56
invitees ,tvui,playback,,,2023-02-15 20:22:56
invitees ,tvui,browseTitles,,,2023-02-15 20:22:51
invitees ,tvui,movieDetails,,,2023-02-15 20:22:51
invitees ,tvui,profilesGate,,,2023-02-15 20:22:06
invitees ,tvui,browseTitles,,,2023-02-15 20:22:06
invitees ,tvui,playback,,,2023-02-14 22:03:33
invitees ,tvui,postPlay,,,2023-02-14 22:03:33
invitees ,tvui,playback,,,2023-02-14 22:03:27
invitees ,tvui,postPlay,,,2023-02-14 22:03:27
invitees ,tvui,playback,,,2023-02-14 21:15:22
invitees ,tvui,postPlay,,,2023-02-14 21:15:22
invitees ,tvui,playback,,,2023-02-14 21:15:16
invitees ,tvui,postPlay,,,2023-02-14 21:15:16
invitees ,tvui,movieDetails,,,2023-02-14 21:11:29
invitees ,tvui,playback,,,2023-02-14 21:11:29
invitees ,tvui,playback,,,2023-02-14 21:11:23
invitees ,tvui,movieDetails,,,2023-02-14 21:11:23
invitees ,tvui,movieDetails,,,2023-02-14 20:52:18
invitees ,tvui,playback,,,2023-02-14 20:52:18
invitees ,tvui,browseTitles,,,2023-02-14 20:51:54
invitees ,tvui,movieDetails,,,2023-02-14 20:51:54
invitees ,tvui,profilesGate,,,2023-02-14 20:50:11
invitees ,tvui,browseTitles,,,2023-02-14 20:50:11
invitees ,tvui,postPlay,,,2023-02-13 21:50:43
invitees ,tvui,playback,,,2023-02-13 21:50:43
invitees ,tvui,playback,,,2023-02-13 21:50:35
invitees ,tvui,postPlay,,,2023-02-13 21:50:35
invitees ,tvui,playback,,,2023-02-13 20:51:33
invitees ,tvui,episodesSelector,,,2023-02-13 20:51:33
invitees ,tvui,movieDetails,,,2023-02-13 20:50:59
invitees ,tvui,episodesSelector,,,2023-02-13 20:50:59
invitees ,tvui,movieDetails,,,2023-02-13 20:50:50
invitees ,tvui,search,,,2023-02-13 20:50:50
invitees ,tvui,browseTitles,,,2023-02-13 20:50:27
invitees ,tvui,search,,,2023-02-13 20:50:27
invitees ,tvui,browseTitles,,,2023-02-13 20:49:55
invitees ,tvui,profilesGate,,,2023-02-13 20:49:55
invitees ,tvui,profilesGate,,,2023-02-13 20:49:50
invitees ,tvui,movieDetails,,,2023-02-11 22:19:17
invitees ,tvui,profilesGate,,,2023-02-11 22:19:17
invitees ,tvui,playback,,,2023-02-11 21:49:17
invitees ,tvui,movieDetails,,,2023-02-11 21:49:17
invitees ,tvui,movieDetails,,,2023-02-11 21:14:17
invitees ,tvui,playback,,,2023-02-11 21:14:17
invitees ,tvui,searchSuggestionTitleResults,,,2023-02-11 21:14:00
invitees ,tvui,movieDetails,,,2023-02-11 21:14:00
invitees ,tvui,browseTitlesGallery,,,2023-02-11 21:13:26
invitees ,tvui,search,,,2023-02-11 21:13:26
invitees ,tvui,myListGallery,,,2023-02-11 21:12:12
invitees ,tvui,browseTitlesGallery,,,2023-02-11 21:12:12
invitees ,tvui,browseTitles,,,2023-02-11 21:11:52
invitees ,tvui,myListGallery,,,2023-02-11 21:11:52
invitees ,tvui,profilesGate,,,2023-02-11 21:11:33
invitees ,tvui,browseTitles,,,2023-02-11 21:11:33
invitees ,tvui,profilesGate,,,2023-02-11 21:11:30
invitees ,iOS,profilesGate,,,2023-02-09 18:58:29
invitees ,iOS,downloadsTab,,,2023-02-08 13:26:03
invitees ,iOS,movieDetails,,,2023-02-08 13:26:03
invitees ,iOS,movieDetails,,,2023-02-08 13:26:03
invitees ,iOS,downloadsTab,,,2023-02-08 13:26:02
invitees ,iOS,playback,,,2023-02-08 13:26:01
invitees ,iOS,downloadsTab,,,2023-02-08 13:26:01
invitees ,iOS,playback,,,2023-02-08 13:25:58
invitees ,iOS,browseTitlesGallery,,,2023-02-08 13:24:54
invitees ,iOS,browseTitles,,,2023-02-08 13:24:50
invitees ,iOS,downloadsTab,,,2023-02-08 13:24:50
invitees ,iOS,browseTitles,,,2023-02-08 13:24:46
invitees ,iOS,browseTitles,,,2023-02-08 13:24:46
invitees ,iOS,profilesGate,,,2023-02-08 13:24:36
invitees ,iOS,browseTitles,,,2023-02-08 13:24:36
invitees ,iOS,profilesGate,,,2023-02-08 13:24:35
invitees ,iOS,movieDetails,,,2023-02-08 10:27:39
invitees ,iOS,downloadsTab,,,2023-02-08 10:27:38
invitees ,iOS,movieDetails,,,2023-02-08 10:27:34
invitees ,iOS,downloadsTab,,,2023-02-08 10:27:33
invitees ,iOS,movieDetails,,,2023-02-08 10:22:34
invitees ,iOS,downloadsTab,,,2023-02-08 10:22:33
invitees ,iOS,downloadsTab,,,2023-02-08 10:19:34
invitees ,iOS,movieDetails,,,2023-02-08 10:19:24
invitees ,iOS,downloadsTab,,,2023-02-08 10:18:55
invitees ,iOS,movieDetails,,,2023-02-08 10:18:55
invitees ,iOS,browseTitles,,,2023-02-08 10:18:40
invitees ,iOS,downloadsTab,,,2023-02-08 10:18:40
invitees ,iOS,movieDetails,,,2023-02-08 10:17:56
invitees ,iOS,browseTitles,,,2023-02-08 10:17:55
invitees ,iOS,movieDetails,,,2023-02-08 10:16:59
invitees ,iOS,browseTitles,,,2023-02-08 10:16:58
invitees ,iOS,profilesGate,,,2023-02-08 10:16:18
invitees ,iOS,browseTitles,,,2023-02-08 10:16:18
invitees ,iOS,profilesGate,,,2023-02-08 10:16:17
invitees ,tvui,playback,,,2023-02-07 21:59:55
invitees ,tvui,postPlay,,,2023-02-07 21:59:55
invitees ,tvui,movieDetails,,,2023-02-07 20:32:59
invitees ,tvui,playback,,,2023-02-07 20:32:59
invitees ,tvui,audioSubtitlesSelector,,,2023-02-07 20:32:39
invitees ,tvui,movieDetails,,,2023-02-07 20:32:39
invitees ,tvui,movieDetails,,,2023-02-07 20:32:10
invitees ,tvui,audioSubtitlesSelector,,,2023-02-07 20:32:10
invitees ,tvui,playback,,,2023-02-07 20:31:52
invitees ,tvui,movieDetails,,,2023-02-07 20:31:52
invitees ,tvui,movieDetails,,,2023-02-07 20:25:37
invitees ,tvui,playback,,,2023-02-07 20:25:37
invitees ,tvui,browseTitles,,,2023-02-07 20:25:32
invitees ,tvui,movieDetails,,,2023-02-07 20:25:32
invitees ,tvui,profilesGate,,,2023-02-07 20:23:27
invitees ,tvui,browseTitles,,,2023-02-07 20:23:27
invitees ,tvui,movieDetails,,,2023-02-06 21:53:10
invitees ,tvui,profilesGate,,,2023-02-06 21:53:10
invitees ,tvui,screenSaver,,,2023-02-06 21:43:14
invitees ,tvui,movieDetails,,,2023-02-06 21:43:14
invitees ,tvui,screenSaver,,,2023-02-06 21:43:10
