Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-06-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,APPROVED,,FR,
2021-06-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,NEW,,FR,
2021-05-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,APPROVED,,FR,
2021-05-17,2021-05-17,2021-06-16,SUBSCRIPTION,VISA,1703,,ADYEN,15.99,EUR,2.66,15.99,SALE,APPROVED,SETTLED,FR,2021-06-17
2021-05-17,2021-05-17,2021-06-16,SUBSCRIPTION,VISA,1703,,ADYEN,15.99,EUR,2.66,15.99,SALE,NEW,SETTLED,FR,2021-06-17
2021-05-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,NEW,,FR,
2021-04-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,APPROVED,,FR,
2021-04-17,2021-04-17,2021-05-16,SUBSCRIPTION,VISA,1703,,ADYEN,15.99,EUR,2.66,15.99,SALE,APPROVED,SETTLED,FR,2021-05-17
2021-03-17,2021-03-17,2021-04-16,SUBSCRIPTION,VISA,1703,,ADYEN,15.99,EUR,2.66,15.99,SALE,APPROVED,SETTLED,FR,2021-04-17
2021-03-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,APPROVED,,FR,
2021-02-17,2021-02-17,2021-03-16,SUBSCRIPTION,VISA,1703,,ADYEN,15.99,EUR,2.66,15.99,SALE,APPROVED,SETTLED,FR,2021-03-17
2021-02-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,APPROVED,,FR,
2021-01-17,2021-01-17,2021-02-16,SUBSCRIPTION,VISA,1703,,ADYEN,15.99,EUR,2.66,15.99,SALE,APPROVED,SETTLED,FR,2021-02-17
2021-01-17,,,payment_transaction,CC,1703,,,,EUR,,15.99,SALE,APPROVED,,FR,
