Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,86.222.13.136,Nouvelle-Aquitaine,2018-12-14T19:51:38.701Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.250.215,Nouvelle-Aquitaine,2018-12-11T20:26:53.971Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.250.215,Nouvelle-Aquitaine,2018-12-07T10:37:27.846Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,92.156.235.101,Nouvelle-Aquitaine,2018-12-05T13:40:19.130Z
NFAPPL-01-IPAD6=11-45F98DA919BF0666A19FE0C7944F06F0DC808D4FF1479BF2995571A9CA3B810C,FR,Apple iPad 5th Gen (Wi-Fi) iPad,Apple iPad 5th Gen (Wi-Fi) iPad,89.158.189.207,Auvergne-Rhône-Alpes,2018-11-06T10:58:14.013Z
NFAPPL-01-IPAD6=11-45F98DA919BF0666A19FE0C7944F06F0DC808D4FF1479BF2995571A9CA3B810C,FR,Apple iPad 5th Gen (Wi-Fi) iPad,Apple iPad 5th Gen (Wi-Fi) iPad,84.7.134.18,Auvergne-Rhône-Alpes,2018-10-26T16:44:23.475Z
NFAPPL-01-IPAD6=11-45F98DA919BF0666A19FE0C7944F06F0DC808D4FF1479BF2995571A9CA3B810C,FR,Apple iPad 5th Gen (Wi-Fi) iPad,Apple iPad 5th Gen (Wi-Fi) iPad,89.158.189.207,Auvergne-Rhône-Alpes,2018-10-19T12:19:50.517Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,87.231.187.57,Auvergne-Rhône-Alpes,2018-10-12T07:23:30.338Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a01:cb19:6bb:3200:e9f0:9abc:e24f:eda4,Nouvelle-Aquitaine,2018-10-08T07:48:34.488Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a01:cb19:6bb:3200:e9f0:9abc:e24f:eda4,Nouvelle-Aquitaine,2018-10-08T07:46:22.126Z
