Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
invitees ,"Ganglands: Season 2: ""Episode 6""",Xiaomi aquaman Streaming Stick,2023-02-19 20:10:33,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":4957,""mediaOffsetMs"":6000},{""eventType"":""paused"",""sessionOffsetMs"":2534617,""mediaOffsetMs"":2534194},{""eventType"":""stopped"",""sessionOffsetMs"":2536278,""mediaOffsetMs"":2535440}]"
invitees ,"Ganglands: Season 2: ""Episode 5""",Xiaomi aquaman Streaming Stick,2023-02-19 19:35:30,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":9292,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":31527,""mediaOffsetMs"":22208},{""eventType"":""playing"",""sessionOffsetMs"":51485,""mediaOffsetMs"":42166},{""eventType"":""paused"",""sessionOffsetMs"":2106951,""mediaOffsetMs"":2096134},{""eventType"":""stopped"",""sessionOffsetMs"":2108797,""mediaOffsetMs"":2096790}]"
invitees ,Supporting Character Clip: Ganglands,Xiaomi aquaman Streaming Stick,2023-02-19 19:35:23,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5058,""mediaOffsetMs"":0}]"
invitees ,"Ganglands: Season 2: ""Episode 4""",Xiaomi aquaman Streaming Stick,2023-02-18 23:09:07,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":5071,""mediaOffsetMs"":5000},{""eventType"":""paused"",""sessionOffsetMs"":10642,""mediaOffsetMs"":8930},{""eventType"":""playing"",""sessionOffsetMs"":24399,""mediaOffsetMs"":8930},{""eventType"":""stopped"",""sessionOffsetMs"":2363242,""mediaOffsetMs"":2347773}]"
invitees ,"Ganglands: Season 2: ""Episode 3""",Xiaomi aquaman Streaming Stick,2023-02-18 22:28:33,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":3825,""mediaOffsetMs"":5000},{""eventType"":""paused"",""sessionOffsetMs"":2434456,""mediaOffsetMs"":2434899},{""eventType"":""stopped"",""sessionOffsetMs"":2437485,""mediaOffsetMs"":2435353}]"
invitees ,"Ganglands: Season 2: ""Episode 2""",Xiaomi aquaman Streaming Stick,2023-02-18 21:46:29,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":5593,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":28930,""mediaOffsetMs"":28416},{""eventType"":""playing"",""sessionOffsetMs"":44163,""mediaOffsetMs"":43666},{""eventType"":""paused"",""sessionOffsetMs"":2524991,""mediaOffsetMs"":2523628},{""eventType"":""stopped"",""sessionOffsetMs"":2526545,""mediaOffsetMs"":2524113}]"
invitees ,"Ganglands: Season 2: ""Episode 1""",Xiaomi aquaman Streaming Stick,2023-02-18 21:01:13,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":16784,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":33070,""mediaOffsetMs"":16250},{""eventType"":""playing"",""sessionOffsetMs"":38281,""mediaOffsetMs"":21458},{""eventType"":""playing"",""sessionOffsetMs"":43661,""mediaOffsetMs"":26833},{""eventType"":""playing"",""sessionOffsetMs"":49480,""mediaOffsetMs"":32666},{""eventType"":""playing"",""sessionOffsetMs"":54606,""mediaOffsetMs"":37791},{""eventType"":""playing"",""sessionOffsetMs"":59984,""mediaOffsetMs"":43166},{""eventType"":""playing"",""sessionOffsetMs"":64872,""mediaOffsetMs"":48041},{""eventType"":""playing"",""sessionOffsetMs"":78230,""mediaOffsetMs"":61416},{""eventType"":""playing"",""sessionOffsetMs"":93939,""mediaOffsetMs"":77125},{""eventType"":""paused"",""sessionOffsetMs"":2722550,""mediaOffsetMs"":2705202},{""eventType"":""stopped"",""sessionOffsetMs"":2724194,""mediaOffsetMs"":2705602}]"
invitees ,"Ganglands: Season 2: ""Episode 1""",Xiaomi aquaman Streaming Stick,2023-02-18 20:59:52,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":15587,""mediaOffsetMs"":0}]"
invitees ,Season 3 Teaser 1: You,Xiaomi aquaman Streaming Stick,2023-02-18 20:59:37,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":14918,""mediaOffsetMs"":0}]"
invitees ,Season 1 Main Character Intro Clip: A Girl and an Astronaut,Xiaomi aquaman Streaming Stick,2023-02-18 20:59:10,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":24275,""mediaOffsetMs"":0}]"
invitees ,Season 3 Inciting Incident Clip: You,Xiaomi aquaman Streaming Stick,2023-02-17 22:24:39,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":783},{""eventType"":""stopped"",""sessionOffsetMs"":3170,""mediaOffsetMs"":783}]"
invitees ,"Ganglands: Season 2: ""Episode 1""",Xiaomi aquaman Streaming Stick,2023-02-17 22:24:38,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":8160,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":8899,""mediaOffsetMs"":519}]"
invitees ,Tall Tales from the Magical Garden of Antoon Krings_hook_01_16x9,Xiaomi aquaman Streaming Stick,2023-02-17 22:24:21,FR,"[{""eventType"":""start"",""sessionOffsetMs"":7294,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":8325,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":10147,""mediaOffsetMs"":783},{""eventType"":""stopped"",""sessionOffsetMs"":12377,""mediaOffsetMs"":1762}]"
invitees ,"Ganglands: Season 2: ""Episode 1""",Xiaomi aquaman Streaming Stick,2023-02-17 22:22:36,FR,[]
invitees ,"Ganglands: Season 1: ""Episode 6""",Xiaomi aquaman Streaming Stick,2023-02-17 21:43:47,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":4095,""mediaOffsetMs"":5000},{""eventType"":""paused"",""sessionOffsetMs"":2330130,""mediaOffsetMs"":2330117},{""eventType"":""stopped"",""sessionOffsetMs"":2331645,""mediaOffsetMs"":2330742}]"
invitees ,"Ganglands: Season 1: ""Episode 5""",Xiaomi aquaman Streaming Stick,2023-02-17 21:04:13,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":2223,""mediaOffsetMs"":5000},{""eventType"":""paused"",""sessionOffsetMs"":2373118,""mediaOffsetMs"":2374240},{""eventType"":""stopped"",""sessionOffsetMs"":2376213,""mediaOffsetMs"":2375617}]"
invitees ,"Ganglands: Season 1: ""Episode 4""",Xiaomi aquaman Streaming Stick,2023-02-17 20:23:28,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":2159,""mediaOffsetMs"":5000},{""eventType"":""paused"",""sessionOffsetMs"":2445159,""mediaOffsetMs"":2446623},{""eventType"":""stopped"",""sessionOffsetMs"":2446646,""mediaOffsetMs"":2447247}]"
invitees ,"Ganglands: Season 1: ""Episode 3""",Xiaomi aquaman Streaming Stick,2023-02-17 20:22:53,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2465000},{""eventType"":""playing"",""sessionOffsetMs"":12660,""mediaOffsetMs"":2465000},{""eventType"":""paused"",""sessionOffsetMs"":40105,""mediaOffsetMs"":2490679},{""eventType"":""stopped"",""sessionOffsetMs"":41607,""mediaOffsetMs"":2491401}]"
invitees ,Genre Specific Moment Clip: Ganglands,Xiaomi aquaman Streaming Stick,2023-02-17 20:22:47,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4786,""mediaOffsetMs"":0}]"
invitees ,Season 1 Trailer: La legge di Lidia Poët,Xiaomi aquaman Streaming Stick,2023-02-17 20:22:46,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4067,""mediaOffsetMs"":0}]"
invitees ,Season 1 Main Character Intro Clip: Red Rose,Xiaomi aquaman Streaming Stick,2023-02-17 20:22:27,FR,"[{""eventType"":""start"",""sessionOffsetMs"":11182,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":13609,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":17588,""mediaOffsetMs"":2802},{""eventType"":""stopped"",""sessionOffsetMs"":20159,""mediaOffsetMs"":3890}]"
invitees ,"Ganglands: Season 1: ""Episode 3""",Xiaomi aquaman Streaming Stick,2023-02-17 20:21:50,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":12430,""mediaOffsetMs"":0}]"
invitees ,Season 1 Trailer: La legge di Lidia Poët,Xiaomi aquaman Streaming Stick,2023-02-17 20:21:16,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":9510,""mediaOffsetMs"":0}]"
invitees ,Curve_hook_primary_16x9,Xiaomi aquaman Streaming Stick,2023-02-17 20:20:47,FR,"[{""eventType"":""start"",""sessionOffsetMs"":18016,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":21777,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":28822,""mediaOffsetMs"":2766},{""eventType"":""stopped"",""sessionOffsetMs"":32133,""mediaOffsetMs"":6617}]"
invitees ,"Ganglands: Season 1: ""Episode 3""",Xiaomi aquaman Streaming Stick,2023-02-16 21:55:18,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":2883,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":9804,""mediaOffsetMs"":12000},{""eventType"":""playing"",""sessionOffsetMs"":23596,""mediaOffsetMs"":25791},{""eventType"":""playing"",""sessionOffsetMs"":28554,""mediaOffsetMs"":30750},{""eventType"":""playing"",""sessionOffsetMs"":34140,""mediaOffsetMs"":36333},{""eventType"":""playing"",""sessionOffsetMs"":81138,""mediaOffsetMs"":83333},{""eventType"":""stopped"",""sessionOffsetMs"":2463705,""mediaOffsetMs"":2465900}]"
invitees ,"Ganglands: Season 1: ""Episode 2""",Xiaomi aquaman Streaming Stick,2023-02-16 21:16:03,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":2498,""mediaOffsetMs"":5000},{""eventType"":""playing"",""sessionOffsetMs"":23651,""mediaOffsetMs"":26166},{""eventType"":""playing"",""sessionOffsetMs"":40939,""mediaOffsetMs"":43458},{""eventType"":""playing"",""sessionOffsetMs"":46445,""mediaOffsetMs"":48958},{""eventType"":""playing"",""sessionOffsetMs"":59824,""mediaOffsetMs"":62333},{""eventType"":""playing"",""sessionOffsetMs"":78897,""mediaOffsetMs"":81416},{""eventType"":""paused"",""sessionOffsetMs"":2354459,""mediaOffsetMs"":2355855},{""eventType"":""stopped"",""sessionOffsetMs"":2355982,""mediaOffsetMs"":2356854}]"
invitees ,"Ganglands: Season 1: ""Episode 1""",Xiaomi aquaman Streaming Stick,2023-02-16 20:29:49,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4603,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":7806,""mediaOffsetMs"":2603},{""eventType"":""playing"",""sessionOffsetMs"":16152,""mediaOffsetMs"":2603},{""eventType"":""paused"",""sessionOffsetMs"":16596,""mediaOffsetMs"":4274},{""eventType"":""playing"",""sessionOffsetMs"":16851,""mediaOffsetMs"":4274},{""eventType"":""playing"",""sessionOffsetMs"":55323,""mediaOffsetMs"":43000},{""eventType"":""paused"",""sessionOffsetMs"":2776592,""mediaOffsetMs"":2763017},{""eventType"":""stopped"",""sessionOffsetMs"":2778078,""mediaOffsetMs"":2763514}]"
invitees ,Season 1 Main Character Intro Clip: Red Rose,Xiaomi aquaman Streaming Stick,2023-02-16 20:28:44,FR,"[{""eventType"":""start"",""sessionOffsetMs"":11618,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":13377,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":28774,""mediaOffsetMs"":15320},{""eventType"":""paused"",""sessionOffsetMs"":31196,""mediaOffsetMs"":17212},{""eventType"":""stopped"",""sessionOffsetMs"":39034,""mediaOffsetMs"":17212}]"
invitees ,Mission: Impossible - Fallout,Xiaomi aquaman Streaming Stick,2023-02-16 20:27:33,FR,[]
invitees ,Mission: Impossible - Fallout_hook_primary_16x9,Xiaomi aquaman Streaming Stick,2023-02-16 20:27:12,FR,[]
invitees ,"Black Butterflies: Limited Series: ""Episode 6""",Xiaomi aquaman Streaming Stick,2023-02-15 21:59:23,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1000},{""eventType"":""playing"",""sessionOffsetMs"":2158,""mediaOffsetMs"":1000},{""eventType"":""stopped"",""sessionOffsetMs"":3542932,""mediaOffsetMs"":3541774}]"
invitees ,"Black Butterflies: Limited Series: ""Episode 5""",Xiaomi aquaman Streaming Stick,2023-02-15 21:15:18,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2023,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2645011,""mediaOffsetMs"":2642403},{""eventType"":""stopped"",""sessionOffsetMs"":2645531,""mediaOffsetMs"":2642941}]"
