Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Fabrice,NFANDROID1-PRV-P-L3-XIAOMREDMI=NOTE=7-22586-0DDBA4E0432BD1C20724F2B2A069D15418945CBF462DDE6B4CCDFFCE63C7DD4F0,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000Z
Fabrice,NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,Safari MAC (Cadmium),2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,2021-02-26T22:36:26.384Z,2023-02-26T15:40:18.119Z,1970-01-01T00:00:00.000Z
Fabrice,LGTV20211=11002032245,LG DTV 2021 LG O20 UHD TV Smart TV,2021-12-11T10:49:27.080Z,2022-11-14T18:00:55.924Z,2021-12-18T14:02:40.639Z,2022-11-14T18:00:55.924Z,2021-12-11T10:49:27.080Z,2022-11-14T18:00:55.924Z,2021-12-18T14:02:40.639Z,2022-11-14T18:00:55.924Z,1970-01-01T00:00:00.000Z
Fabrice,SSTV-NM21-0000000000000002117363,Samsung CE 2021 Nike-M2 UHD TV Smart TV,2021-11-06T17:50:19.299Z,2021-11-15T16:22:51.096Z,2021-11-07T08:37:03.559Z,2021-11-15T16:22:51.096Z,2021-11-06T17:50:19.299Z,2021-11-15T16:22:51.096Z,2021-11-07T08:37:03.559Z,2021-11-15T16:22:51.096Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-01-IPAD6=11-45F98DA919BF0666A19FE0C7944F06F0DC808D4FF1479BF2995571A9CA3B810C,Apple iPad 5th Gen (Wi-Fi) iPad,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,2021-03-02T19:46:18.767Z,2023-02-08T13:26:01.521Z,1970-01-01T00:00:00.000Z
Fabrice,NFANDROID1-PRV-P-L3-HUAWERNE-L21-4445-02B1474579A2CAD4F3AADA29E6FEE7FB7E5A37D8A8D086B5BA23F198699E9B295,Android DefaultWidevineL3Phone Android Phone,2021-03-18T10:55:01.227Z,2021-12-24T15:17:42.758Z,2021-03-18T10:55:01.227Z,2021-12-24T15:17:42.758Z,2021-03-18T10:55:01.227Z,2021-12-24T15:17:42.758Z,2021-03-18T10:55:01.227Z,2021-12-24T15:17:42.758Z,1970-01-01T00:00:00.000Z
Fabrice,NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,Netflix Windows App - Cadmium Windows Mobile,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,2021-10-01T22:13:43.641Z,2023-02-12T22:24:56.904Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,Apple iPhone XR,2021-10-30T20:38:54.244Z,2023-02-18T12:35:38.088Z,2022-04-28T11:29:03.556Z,2023-02-18T12:35:38.088Z,2021-10-30T20:38:54.244Z,2023-02-18T12:35:38.088Z,2022-04-28T11:29:03.556Z,2023-02-18T12:35:38.088Z,1970-01-01T00:00:00.000Z
Fabrice,NFCDCH-02-HD1AUKJ94JXGG9CC7NM15DX4RCPDW5,Chrome PC (Cadmium),2021-08-25T14:06:26.465Z,2022-01-31T17:52:23.233Z,2021-08-25T14:06:26.465Z,2021-12-04T11:20:47.280Z,2021-08-25T14:06:26.465Z,2022-01-31T17:52:23.233Z,2021-08-25T14:06:26.465Z,2021-12-04T11:20:47.280Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,Apple iPhone XR,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,2021-05-13T08:21:34.880Z,2023-02-25T13:07:26.096Z,1970-01-01T00:00:00.000Z
